地震,3008
尼泊尔,925
汶川,812
发生,652
中国,567
大地震,328
救援,259
七年,234
遇难,221
西藏,206
震中,201
地震台网,200
灾区,161
同胞,160
生命,150
震源,150
七周年,148
深度,145
灾难,145
四川,138
纪念,132
逝者,124
北纬,123
正式,116
坚强,115
千米,115
2008,113
震感强烈,112
速报,111
受伤,108
